Rank(ACPA–)	Rho	RA_phenotype
1	0.7333151042742581	2
1	0.8182339306510917	1
2	0.6719185357693424	2
2	0.28303035256561065	1
3	0.6186884980110741	2
3	0.6146000061020488	1
4	0.5744121264931059	2
4	0.2311395284325118	1
5	0.57342820712604	2
5	-0.047268033564448655	1
6	0.5668359473666981	2
6	0.061020835506183105	1
7	0.5603420795440628	2
7	0.2255921797501315	1
8	0.5534546439746011	2
8	0.6117107619966424	1
9	0.5510932374936428	2
9	0.1830625065185493	1
10	0.533063320664396	2
10	0.287032035711387	1
11	0.5297421872283115	2
11	-0.16098868155324444	1
12	0.5277499068543586	2
12	0.3812646521494282	1
13	0.5273807807473533	2
13	0.2462791675448413	1
14	0.5229531435955564	2
14	0.38646529153915965	1
15	0.5212804806715443	2
15	0.6114796224682099	1
16	0.510162191823699	2
16	0.38299819861267204	1
17	0.5098670160135792	2
17	0.17173666962535625	1
18	0.495796969064536	2
18	-0.012250395006923124	1
19	0.49515467746861597	2
19	0.3386194091536297	1
20	0.49510822550758987	2
20	0.04068055700412207	1
21	0.48851596574824796	2
21	0.48019237031854317	1
22	0.4862529512039962	2
22	0.028199022468766436	1
23	0.480447826938307	2
23	0.1867607389734695	1
24	0.47651214947004317	2
24	-0.03270624327320042	1
25	0.4743475268624981	2
25	-0.13510105436880313	1
26	0.47336360749543216	2
26	-0.026351239839821315	1
27	0.4714941606980068	2
27	0.009361150901516728	1
28	0.47080541714106067	2
28	-0.12030812454912237	1
29	0.4649019009386649	2
29	0.6446481447982753	1
30	0.4595887363565087	2
30	0.0033515231622714206	1
31	0.4590967766729758	2
31	0.49267390485389884	1
32	0.45860481698944283	2
32	0.06194539361991315	1
33	0.45781768149579	2
33	0.0843659278778668	1
34	0.45693215406543064	2
34	0.12712674063788146	1
35	0.4544723556477657	2
35	0.0657591958390496	1
36	0.45279969272375364	2
36	0.08367250929256927	1
37	0.4483720555719568	2
37	0.1378747287099933	1
38	0.44561708134417216	2
38	-0.107942159777983	1
39	0.4422717554961479	2
39	0.39351504715635127	1
40	0.4381392941544709	2
40	0.3664717223297474	1
41	0.4370774841515915	2
41	0.1060930435505229	1
42	0.43676180704057854	2
42	-0.31666115395254113	1
43	0.43666341510387197	2
43	-0.027044693519816615	1
44	0.4365650231671653	2
44	0.14631132149777995	1
45	0.4341052247495005	2
45	-0.10782659001376674	1
46	0.43260044103387485	2
46	0.1983177153950951	1
47	0.432038994078662	2
47	-0.06807059112337471	1
48	0.4313617570079174	2
48	0.1166098920942022	1
49	0.4303663311546498	2
49	0.052237533425747655	1
50	0.4292840198508772	2
50	0.5683721004155464	1
61	-0.5083911369629802	2
61	-0.4478328363379916	1
62	-0.5093989498993222	2
62	-0.2926522651693459	1
63	-0.5095718402034595	2
63	-0.4010270818304079	1
64	-0.509670232140166	2
64	-0.04588119639385358	1
65	-0.5141962612286695	2
65	-0.16434020471551586	1
66	-0.5150817886590288	2
66	-0.21010583134515318	1
67	-0.5158439240577933	2
67	-0.3856563031896459	1
68	-0.5169512354564539	2
68	-0.4727959054087028	1
69	-0.5219692242284905	2
69	-0.13683460083204696	1
70	-0.5222644000386102	2
70	-0.35040752510368783	1
71	-0.5234451032790894	2
71	-0.28753757337004465	1
72	-0.5278727404308862	2
72	-0.28719086407739586	1
73	-0.5296437952916049	2
73	-0.20710101747553053	1
74	-0.5304066137593773	2
74	-0.47187134729497276	1
75	-0.5329891211396292	2
75	-0.12712674063788146	1
76	-0.5341698243801084	2
76	-0.35086980416055286	1
77	-0.5348585679370546	2
77	-0.2334509237168369	1
78	-0.5349569598737611	2
78	-0.2629212135919821	1
79	-0.5380071099116656	2
79	-0.3140030493755673	1
80	-0.539384597025558	2
80	-0.43662256920901477	1
81	-0.5416476115698097	2
81	-0.5465294149786741	1
82	-0.5418443954432228	2
82	-0.14111068210804842	1
83	-0.5426315309368756	2
83	-0.32163065381384015	1
84	-0.5438122341773547	2
84	-0.24570131872376	1
85	-0.5453865051646601	2
85	-0.46747969625475505	1
86	-0.5457800729114867	2
86	-0.6622482643955095	1
87	-0.5495189665063372	2
87	-0.030972696809956575	1
88	-0.5512666827913758	2
88	-0.3056820263519968	1
89	-0.551781981050589	2
89	-0.3546836063796893	1
90	-0.5526675084809483	2
90	-0.10516848543679284	1
91	-0.5538482117214274	2
91	-0.4096948141466271	1
92	-0.5546353472150803	2
92	-0.1878008668514158	1
93	-0.5568983617593319	2
93	-0.3501763855752553	1
94	-0.5583742408099308	2
94	-0.15081854230221392	1
95	-0.5593581601769969	2
95	-0.24500790013846246	1
96	-0.5623099182781948	2
96	-0.44367232482620633	1
97	-0.5633922295819673	2
97	-0.23645573758645952	1
98	-0.5695909215944828	2
98	-0.3007125264906978	1
99	-0.5696893135311893	2
99	-0.22697901692072656	1
100	-0.584644887910592	2
100	-0.289748062624702	1
101	-0.606783073669576	2
101	-0.47036894036016147	1
102	-0.6081605607834684	2
102	-0.2584139927875482	1
103	-0.6130801576187982	2
103	-0.1791331345351966	1
104	-0.6184917141376609	2
104	-0.31689229348097364	1
105	-0.6203611609350862	2
105	-0.382535919555807	1
106	-0.6312826659095183	2
106	-0.5778488210812794	1
107	-0.6328569368968239	2
107	-0.6053544249647483	1
108	-0.6529288919849695	2
108	-0.27390034119252643	1
109	-0.6638503969594015	2
109	-0.25309778363360036	1
110	-0.6711314002756896	2
110	-0.22304964493737386	1
