Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.7333151042742581	7.372987517038043e-08	2	CRP_4337-49
1	0.8182339306510917	2.0007530257127105e-10	1	CRP_4337-49
2	0.6719185357693424	2.061861018923211e-06	2	HTRA1_15594-47
2	0.28303035256561065	0.08082579544692801	1	HTRA1_15594-47
3	0.6186884980110741	2.0895628904957184e-05	2	LBP_3074-6
3	0.6146000061020488	3.148374224336108e-05	1	LBP_3074-6
4	0.5744121264931059	0.00010620491463032225	2	F9_4876-32
4	0.2311395284325118	0.1568467326441225	1	F9_4876-32
5	0.57342820712604	0.00010982297231307839	2	TIMD4_15449-33
5	-0.047268033564448655	0.7750739121928667	1	TIMD4_15449-33
6	0.5668359473666981	0.00013708360189461786	2	TNMD_6578-29
6	0.061020835506183105	0.7121122641734468	1	TNMD_6578-29
7	0.5603420795440628	0.00016977279451956524	2	F9_5307-12
7	0.2255921797501315	0.16732150568092027	1	F9_5307-12
8	0.5534546439746011	0.00021198297605782302	2	TXNL4A_21651-9
8	0.6117107619966424	3.511681686855508e-05	1	TXNL4A_21651-9
9	0.5510932374936428	0.00022849771857963807	2	SPI1_22783-40
9	0.1830625065185493	0.2646412461120196	1	SPI1_22783-40
10	0.533063320664396	0.0003979537975253691	2	PBK_17475-18
10	0.287032035711387	0.07644670311130897	1	PBK_17475-18
11	0.5297421872283115	0.00043929566180392625	2	CCL3_3040-59
11	-0.16098868155324444	0.3275457132003715	1	CCL3_3040-59
12	0.5277499068543586	0.00046590264089480866	2	TNF_5692-79
12	0.3812646521494282	0.01663084927514917	1	TNF_5692-79
13	0.5273807807473533	0.00047098773573732856	2	HOGA1_10024-44
13	0.2462791675448413	0.13069660809949737	1	HOGA1_10024-44
14	0.5229531435955564	0.0005359718787259952	2	CFH_4159-130
14	0.38646529153915965	0.015090119910467622	1	CFH_4159-130
15	0.5212804806715443	0.0005625343250875003	2	C9_13722-105
15	0.6114796224682099	3.5423324926475506e-05	1	C9_13722-105
16	0.510162191823699	0.000771040088883399	2	C5_2381-52
16	0.38299819861267204	0.016103196720467894	1	C5_2381-52
17	0.5098670160135792	0.000777408244967023	2	CFI_2567-5
17	0.17173666962535625	0.29584143709311556	1	CFI_2567-5
18	0.495796969064536	0.001140926247454068	2	IL1RN_5353-89
18	-0.012250395006923124	0.9409966219822126	1	IL1RN_5353-89
19	0.49515467746861597	0.0011606330257348983	2	GCKR_5223-59
19	0.3386194091536297	0.03497774506526919	1	GCKR_5223-59
20	0.49510822550758987	0.0011620698959793365	2	SSR1_8106-15
20	0.04068055700412207	0.805770438087682	1	SSR1_8106-15
21	0.48851596574824796	0.0013827021425133587	2	CFHR5_7885-17
21	0.48019237031854317	0.0019764302163035106	1	CFHR5_7885-17
22	0.4862529512039962	0.0014665659267545208	2	MMP19_6425-87
22	0.028199022468766436	0.8646900731940611	1	MMP19_6425-87
23	0.480447826938307	0.0017025985997705649	2	RCAN3_20442-12
23	0.1867607389734695	0.2549430911272868	1	RCAN3_20442-12
24	0.47651214947004317	0.0018811113393171826	2	LILRB2_5633-65
24	-0.03270624327320042	0.8433128230700944	1	LILRB2_5633-65
25	0.4743475268624981	0.0019861601210397362	2	DNAJB9_11214-40
25	-0.13510105436880313	0.41220189575676647	1	DNAJB9_11214-40
26	0.47336360749543216	0.0020355934654235556	2	ZBP1_22831-11
26	-0.026351239839821315	0.8734823129014121	1	ZBP1_22831-11
27	0.4714941606980068	0.0021325082178323893	2	TAX1BP1_12721-4
27	0.009361150901516728	0.9548960953358152	1	TAX1BP1_12721-4
28	0.47080541714106067	0.0021692236258279993	2	H1-10_12709-63
28	-0.12030812454912237	0.4656741646052722	1	H1-10_12709-63
29	0.4649019009386649	0.002507430690654732	2	SAA2_18832-65
29	0.6446481447982753	9.453886387291969e-06	1	SAA2_18832-65
30	0.4595887363565087	0.0028505149684327703	2	IGFBP4_2950-57
30	0.0033515231622714206	0.9838444916798903	1	IGFBP4_2950-57
31	0.4590967766729758	0.00288426965715417	2	ALDH7A1_21498-3
31	0.49267390485389884	0.0014411787404344074	1	ALDH7A1_21498-3
32	0.45860481698944283	0.0029183738925709977	2	SAP18_12830-4
32	0.06194539361991315	0.7079411098294537	1	SAP18_12830-4
33	0.45781768149579	0.002973675313318658	2	CST7_3302-58
33	0.0843659278778668	0.6096065302522127	1	CST7_3302-58
34	0.45693215406543064	0.0030369839511787122	2	RPN2_21828-6
34	0.12712674063788146	0.44058067200835416	1	RPN2_21828-6
35	0.4544723556477657	0.003219070338106231	2	GDF10_16749-79
35	0.0657591958390496	0.690824924464268	1	GDF10_16749-79
36	0.45279969272375364	0.003348275703907343	2	EWSR1_12988-49
36	0.08367250929256927	0.6125595109816557	1	EWSR1_12988-49
37	0.4483720555719568	0.003712399062610116	2	RARRES2_3079-62
37	0.1378747287099933	0.4025804074641097	1	RARRES2_3079-62
38	0.44561708134417216	0.00395599619183849	2	VEGFA_2597-8
38	-0.107942159777983	0.5130591348475954	1	VEGFA_2597-8
39	0.4422717554961479	0.004270420681051158	2	CFHR5_3666-17
39	0.39351504715635127	0.013195320035145237	1	CFHR5_3666-17
40	0.4381392941544709	0.00468867284353663	2	FGG_4989-7
40	0.3664717223297474	0.021754185974170358	1	FGG_4989-7
41	0.4370774841515915	0.004801719569042228	2	CCNE1_19767-20
41	0.1060930435505229	0.5203457301430798	1	CCNE1_19767-20
42	0.43676180704057854	0.004835781564426097	2	CCL18_3044-3
42	-0.31666115395254113	0.04952079260944745	1	CCL18_3044-3
43	0.43666341510387197	0.004846440978436136	2	FOLH1_5478-50
43	-0.027044693519816615	0.8701808620365249	1	FOLH1_5478-50
44	0.4365650231671653	0.004857120783243015	2	CEP43_21793-4
44	0.14631132149777995	0.3741201655534129	1	CEP43_21793-4
45	0.4341052247495005	0.00513083784295178	2	IFI16_12893-159
45	-0.10782659001376674	0.5135130490668673	1	IFI16_12893-159
46	0.43260044103387485	0.005304796678114602	2	MMP17_2838-53
46	0.1983177153950951	0.22617760645669976	1	MMP17_2838-53
47	0.432038994078662	0.005370999040722484	2	TMPRSS6_11239-49
47	-0.06807059112337471	0.6805241162452877	1	TMPRSS6_11239-49
48	0.4313617570079174	0.005451806108277185	2	TRAPPC4_7007-24
48	0.1166098920942022	0.47959584365191754	1	TRAPPC4_7007-24
49	0.4303663311546498	0.0055724897341534576	2	ALOX5_25880-14
49	0.052237533425747655	0.7521352089530914	1	ALOX5_25880-14
50	0.4292840198508772	0.005706325148479579	2	C9_3060-43
50	0.5683721004155464	0.00016020920360003066	1	C9_3060-43
51	0.4277097488635717	0.00590595699433637	2	CD163_5028-59
51	-0.03467092926487676	0.834028137938464	1	CD163_5028-59
52	0.42761135692686514	0.005918632055390391	2	RNF24_9583-17
52	0.2559870277390068	0.11572733281448491	1	RNF24_9583-17
53	0.4263322617496794	0.006085560863970554	2	VSIG4_17678-28
53	0.21981369153931868	0.1787588935248126	1	VSIG4_17678-28
54	0.42605707032336587	0.006122001947571348	2	USP1|WDR48_21759-23
54	0.2613164617448947	0.10807926572468878	1	USP1|WDR48_21759-23
55	0.42554512625602664	0.0061902959094701495	2	C5|C6_4482-66
55	0.36057766435471833	0.02413323397478203	1	C5|C6_4482-66
56	0.4251515585092002	0.006243244878632221	2	C3_5803-24
56	0.41870925575549506	0.007980577131812912	1	C3_5803-24
57	0.42298693590165515	0.0065415124152397065	2	CCDC149_24702-31
57	0.2614188066571708	0.10793624518124062	1	CCDC149_24702-31
58	0.4225933681548288	0.006597043705355673	2	MNDA_20076-7
58	0.010401278779463029	0.9498905568046135	1	MNDA_20076-7
59	0.42249497621812215	0.006610989911415929	2	CFHR5_16055-3
59	0.396519861025974	0.012451269363936306	1	CFHR5_16055-3
60	0.42180623266117595	0.006709327487303985	2	CFHR1_15468-14
60	0.230792819139863	0.1574870934464199	1	CFHR1_15468-14
61	0.4195432181169243	0.007041371963523487	2	MPZL1_16845-15
61	0.008668170999941223	0.9582319686495439	1	MPZL1_16845-15
62	0.4184609068131517	0.007205117726838276	2	TCEAL1_20924-85
62	0.16053452691891143	0.3289302586725982	1	TCEAL1_20924-85
63	0.41806733906632537	0.007265469304606399	2	LRIG1_18831-6
63	0.32105280499275884	0.04627812754857154	1	LRIG1_18831-6
64	0.4167882438891396	0.007464627663071359	2	MX1_17460-51
64	0.027043324826603876	0.8701873761054557	1	MX1_17460-51
65	0.416689851952433	0.007480140254025545	2	BCCIP_18304-19
65	0.32359533980551647	0.044480556637557754	1	BCCIP_18304-19
66	0.4155091487119539	0.007668465941186517	2	APCS_2474-54
66	0.4003336632451104	0.011558444331450885	1	APCS_2474-54
67	0.4153123648385406	0.007700246701930674	2	KLRC1_5629-58
67	0.09522948571419484	0.5641610637185088	1	KLRC1_5629-58
68	0.4144268374081813	0.007844665637143571	2	PLA2G2A_2692-74
68	0.3262534443824904	0.04266209198903754	1	PLA2G2A_2692-74
69	0.4143284454714747	0.007860854976066322	2	HACL1_23645-49
69	0.20936522355191367	0.20083444318006094	1	HACL1_23645-49
70	0.41363970191452853	0.007974986509608798	2	CFB_4129-72
70	0.37710414063764297	0.017956864514290367	1	CFB_4129-72
71	0.4133445261044088	0.008024334172298336	2	SSTR1_21836-9
71	-0.0117881159500581	0.9432194861524579	1	SSTR1_21836-9
72	0.4124589986740494	0.008173954319769269	2	MEOX2_18259-15
72	0.27840756199696043	0.08612494008681403	1	MEOX2_18259-15
73	0.41157347124369004	0.008325963955715998	2	FBLN5_15585-304
73	0.18745415755876704	0.2531514214403825	1	FBLN5_15585-304
74	0.4101959841297977	0.008567245425009933	2	LYZ_4920-10
74	0.025309778363360038	0.8784445414814953	1	LYZ_4920-10
75	0.40966328149286196	0.008662149207907983	2	ZNF329_12803-9
75	-0.01802888321773592	0.9132533374087688	1	ZNF329_12803-9
76	0.4096056325095581	0.008672473536410692	2	SAA1_15515-2
76	0.6262725522878907	2.0026883076415995e-05	1	SAA1_15515-2
77	0.40940884863614496	0.008707794996876789	2	ZNF264_9993-11
77	0.20305607572796158	0.21505240302005268	1	ZNF264_9993-11
78	0.4080313615222526	0.008958516750940091	2	GCH1_11185-145
78	0.3394283975031435	0.03451738554134876	1	GCH1_11185-145
79	0.4042924679274019	0.009670453233328977	2	TIGAR_12476-50
79	0.061020835506183105	0.7121122641734468	1	TIGAR_12476-50
80	0.40409568405398877	0.009709227163791235	2	PAXIP1_12894-3
80	0.03709789431341814	0.822589512262712	1	PAXIP1_12894-3
81	0.4039972921172822	0.009728663939238956	2	SERPINF1_9211-19
81	-0.04911714979190875	0.7665154254693243	1	SERPINF1_9211-19
82	0.4030133727502162	0.009924868958329204	2	PRSS35_9983-97
82	0.18601894965873864	0.25686907955092947	1	PRSS35_9983-97
